source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
H2O2-4-RL.rar	homo sapiens	Monocyte	THP-1 cell	not available	enrichment	THP-1	CVCL_0006	THP-1	1	H2O2-4-RL.rar	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=maxis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	H2O2-4-RL.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003354/H2O2-4-RL.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Monocyte
H2O2-3-RL.rar	homo sapiens	Monocyte	THP-1 cell	not available	enrichment	THP-1	CVCL_0006	THP-1	1	H2O2-3-RL.rar	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=maxis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	H2O2-3-RL.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003354/H2O2-3-RL.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Monocyte
H2O2-5-RL.rar	homo sapiens	Monocyte	THP-1 cell	not available	enrichment	THP-1	CVCL_0006	THP-1	1	H2O2-5-RL.rar	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=maxis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	H2O2-5-RL.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003354/H2O2-5-RL.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Monocyte
H2O2-2-RL.rar	homo sapiens	Monocyte	THP-1 cell	not available	enrichment	THP-1	CVCL_0006	THP-1	1	H2O2-2-RL.rar	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=maxis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	H2O2-2-RL.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003354/H2O2-2-RL.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Monocyte
H2O2-1-RL.rar	homo sapiens	Monocyte	THP-1 cell	not available	enrichment	THP-1	CVCL_0006	THP-1	1	H2O2-1-RL.rar	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=maxis;AC=MS:1001541	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	H2O2-1-RL.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003354/H2O2-1-RL.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Monocyte
