source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
4_800ng	4_800ng	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	4_800ng	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	4_800ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
4_800ng_2	4_800ng_2	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	4_800ng_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	4_800ng_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
5_800ng.msf	5_800ng.msf	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	5_800ng.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5_800ng.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
5_800ng	5_800ng	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	5_800ng	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5_800ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
5_800ng_2	5_800ng_2	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	5_800ng_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5_800ng_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
6_800ng.msf	6_800ng.msf	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	6_800ng.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	6_800ng.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
6_800ng	6_800ng	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	6_800ng	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	6_800ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
6_800ng_2	6_800ng_2	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	6_800ng_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	6_800ng_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E1_800ng_15102.msf	E1_800ng_15102.msf	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E1_800ng_15102.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E1_800ng_15102.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E1_800ng_151023152003	E1_800ng_151023152003	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E1_800ng_151023152003	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E1_800ng_151023152003.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E1_800ng_151029033801	E1_800ng_151029033801	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E1_800ng_151029033801	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E1_800ng_151029033801.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E2_800ng.msf	E2_800ng.msf	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E2_800ng.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E2_800ng.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E2_800ng	E2_800ng	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E2_800ng	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E2_800ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E2_800ng_2	E2_800ng_2	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E2_800ng_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E2_800ng_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E3_800ng_.msf	E3_800ng_.msf	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E3_800ng_.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E3_800ng_.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E3_800ng_151026112639	E3_800ng_151026112639	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E3_800ng_151026112639	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E3_800ng_151026112639.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
E3_800ng_2	E3_800ng_2	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	E3_800ng_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	E3_800ng_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
MultiConsensusResult_AllSamples.pep.xml	MultiConsensusResult_AllSamples.pep.xml	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	MultiConsensusResult_AllSamples.pep.xml	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MultiConsensusResult_AllSamples.pep.xml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
MultiConsensusResult_AllSamples.prot.xml	MultiConsensusResult_AllSamples.prot.xml	Alteromonas macleodii atcc 27126	sea water	not applicable	not available	Differential_proteomics_of_Lenisia_limosa_Breviatea_and_its_epibiotic_Arcobacter_symbiont	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	MultiConsensusResult_AllSamples.prot.xml	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	MultiConsensusResult_AllSamples.prot.xml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
