source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD044594-Sample-1	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV10_S3-A3_1_15753	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV10_S3-A3_1_15753.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-2	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV10_S3-A4_1_15754	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV10_S3-A4_1_15754.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-3	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV11_S3-A5_1_15755	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV11_S3-A5_1_15755.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-4	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV11_S3-A6_1_15756	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV11_S3-A6_1_15756.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-5	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV12_S3-A7_1_15757	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV12_S3-A7_1_15757.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-6	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV12_S3-A8_1_15758	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV12_S3-A8_1_15758.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-7	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV13_S1-B5_1_15775	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV13_S1-B5_1_15775.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-8	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV13_S1-B6_1_15776	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV13_S1-B6_1_15776.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-9	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV14_S1-B7_1_15777	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV14_S1-B7_1_15777.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-10	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV14_S1-B8_1_15778	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV14_S1-B8_1_15778.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
