source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[growth condition]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[growth condition]
LysoIP_normoxia_1	Homo sapiens	kidney	normal	kidney epithelial cell	HEK293T cell	CVCL_0063	HEK293T	cell	not available	female	embryo stage	not available	normoxia	1	run 1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	TMEM192-3xFlag-N-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normoxia
LysoIP_normoxia_2	Homo sapiens	kidney	normal	kidney epithelial cell	HEK293T cell	CVCL_0063	HEK293T	cell	not available	female	embryo stage	not available	normoxia	2	run 2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	TMEM192-3xFlag-N-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normoxia
LysoIP_normoxia_3	Homo sapiens	kidney	normal	kidney epithelial cell	HEK293T cell	CVCL_0063	HEK293T	cell	not available	female	embryo stage	not available	normoxia	3	run 3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	TMEM192-3xFlag-N-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normoxia
LysoIP_HR_1	Homo sapiens	kidney	normal	kidney epithelial cell	HEK293T cell	CVCL_0063	HEK293T	cell	not available	female	embryo stage	not available	hypoxia-reoxygenation	1	run 4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	TMEM192-3xFlag-HpRe-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hypoxia-reoxygenation
LysoIP_HR_2	Homo sapiens	kidney	normal	kidney epithelial cell	HEK293T cell	CVCL_0063	HEK293T	cell	not available	female	embryo stage	not available	hypoxia-reoxygenation	2	run 5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	TMEM192-3xFlag-HpRe-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hypoxia-reoxygenation
LysoIP_HR_3	Homo sapiens	kidney	normal	kidney epithelial cell	HEK293T cell	CVCL_0063	HEK293T	cell	not available	female	embryo stage	not available	hypoxia-reoxygenation	3	run 6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	TMEM192-3xFlag-HpRe-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	hypoxia-reoxygenation
