source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
012_2025_DUN-TCD-DF-DAC-12-cDC2-10K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-12-cDC2-10K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-12-cDC2-10K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-7-cDC1-2-6K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-7-cDC1-2-6K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-7-cDC1-2-6K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-10-cDC2-10K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-10-cDC2-10K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-10-cDC2-10K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-4-pDC-10K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-4-pDC-10K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-4-pDC-10K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-13-cDC2-10K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-13-cDC2-10K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-13-cDC2-10K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-5-pDC-2-6K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-5-pDC-2-6K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-5-pDC-2-6K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-1-pDC-10K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-1-pDC-10K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-1-pDC-10K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-6-cDC1-2-6K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-6-cDC1-2-6K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-6-cDC1-2-6K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-9-cDC1-2-6K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-9-cDC1-2-6K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-9-cDC1-2-6K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
012_2025_DUN-TCD-DF-DAC-2-pDC-10K	Mus musculus	Dendritic cell	not available	not available	1	012_2025_DUN-TCD-DF-DAC-2-pDC-10K	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	012_2025_DUN-TCD-DF-DAC-2-pDC-10K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Dendritic cell
