source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20140103_RT_AB0632_TiO_13	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	13	20140103_RT_AB0632_TiO_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140103_RT_AB0632_TiO_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140103_RT_AB0632_TiO_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20141103_RT_AB0636_TiO_29	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	29	20141103_RT_AB0636_TiO_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20141103_RT_AB0636_TiO_29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20141103_RT_AB0636_TiO_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140103_RT_AB0632_TiO_27	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	27	20140103_RT_AB0632_TiO_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140103_RT_AB0632_TiO_27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140103_RT_AB0632_TiO_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140103_RT_AB0632_TiO_30	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	30	20140103_RT_AB0632_TiO_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140103_RT_AB0632_TiO_30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140103_RT_AB0632_TiO_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131230_RT_AB0631_TiO_09	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	9	20131230_RT_AB0631_TiO_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131230_RT_AB0631_TiO_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131230_RT_AB0631_TiO_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140803_RT_AB0636_TiO2_07	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	7	20140803_RT_AB0636_TiO2_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140803_RT_AB0636_TiO2_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140803_RT_AB0636_TiO2_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131017_RT_AB0629_TiO2_04	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	20131017_RT_AB0629_TiO2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131017_RT_AB0629_TiO2_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131017_RT_AB0629_TiO2_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20130830_JS_RT_AB0621_TIO_FR4	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20130830_JS_RT_AB0621_TIO_FR4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	4	1	20130830_JS_RT_AB0621_TIO_FR4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20130830_JS_RT_AB0621_TIO_FR4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131017_RT_AB0629_TiO2_29	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	29	20131017_RT_AB0629_TiO2_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131017_RT_AB0629_TiO2_29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131017_RT_AB0629_TiO2_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131017_RT_AB0629_TiO2_09	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	9	20131017_RT_AB0629_TiO2_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131017_RT_AB0629_TiO2_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131017_RT_AB0629_TiO2_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
