source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[modification parameters_1]	comment[modification parameters_2]
PC3	Homo sapiens	Prostate	Epithelial	Adenocarcinoma	PC-3	not available	male	1	not applicable	PC3-1	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_PC3_R1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
PC3	Homo sapiens	Prostate	Epithelial	Adenocarcinoma	PC-3	not available	male	2	not applicable	PC3-2	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_PC3_R2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
PC3	Homo sapiens	Prostate	Epithelial	Adenocarcinoma	PC-3	not available	male	3	not applicable	PC3-3	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_PC3_R3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
PC3	Homo sapiens	Prostate	Epithelial	Adenocarcinoma	PC-3	not available	male	4	not applicable	PC3-4	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_PC3_R4.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
HS578T	Homo sapiens	Mammary gland	Epithelial	Carcinoma	HS578T	not available	female	1	not applicable	HS578T-1	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_HS578T_R1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
HS578T	Homo sapiens	Mammary gland	Epithelial	Carcinoma	HS578T	not available	female	2	not applicable	HS578T-2	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_HS578T_R2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
HS578T	Homo sapiens	Mammary gland	Epithelial	Carcinoma	HS578T	not available	female	3	not applicable	HS578T-3	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_HS578T_R3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
HS578T	Homo sapiens	Mammary gland	Epithelial	Carcinoma	HS578T	not available	female	4	not applicable	HS578T-4	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_HS578T_R4.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
MDA-MB-231	Homo sapiens	Mammary gland	Epithelial	Adenocarcinoma	MDAMB231	not available	female	1	not applicable	MDA-MB-231-1	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_MDA_R1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
MDA-MB-231	Homo sapiens	Mammary gland	Epithelial	Adenocarcinoma	MDAMB231	not available	female	2	not applicable	MDA-MB-231-2	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=M	1	1	240123_MDA_R2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=C	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]
