source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Human_Plasma_1	Homo sapiens	plasma	not available	1	not available	not available	not available	not available	not available	Proteomic_Assay_1	proteomic profiling by mass spectrometry	1	UPS-2_20160520.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Human_Plasma_2	Homo sapiens	plasma	not available	2	not available	not available	not available	not available	not available	Proteomic_Assay_2	proteomic profiling by mass spectrometry	1	HPL_UPS_ISTD_R01.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Human_Plasma_3	Homo sapiens	plasma	not available	3	not available	not available	not available	not available	not available	Proteomic_Assay_3	proteomic profiling by mass spectrometry	1	UPS2_MTRX_R03.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Human_Plasma_4	Homo sapiens	plasma	not available	4	not available	not available	not available	not available	not available	Proteomic_Assay_4	proteomic profiling by mass spectrometry	1	UPS-2_20160518.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Human_Plasma_5	Homo sapiens	plasma	not available	5	not available	not available	not available	not available	not available	Proteomic_Assay_5	proteomic profiling by mass spectrometry	1	UPS2_MTRX_R02.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Human_Plasma_6	Homo sapiens	plasma	not available	6	not available	not available	not available	not available	not available	Proteomic_Assay_6	proteomic profiling by mass spectrometry	1	HPL_UPS_ISTD_R02.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E_coli_1	Escherichia coli	cell	not available	1	not available	not available	not available	not available	not available	Proteomic_Assay_7	proteomic profiling by mass spectrometry	1	E_coli_matrix_R01.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E_coli_2	Escherichia coli	cell	not available	2	not available	not available	not available	not available	not available	Proteomic_Assay_8	proteomic profiling by mass spectrometry	1	E_coli_matrix_R03.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E_coli_3	Escherichia coli	cell	not available	3	not available	not available	not available	not available	not available	Proteomic_Assay_9	proteomic profiling by mass spectrometry	1	HPL_ISTD_R02.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E_coli_4	Escherichia coli	cell	not available	4	not available	not available	not available	not available	not available	Proteomic_Assay_10	proteomic profiling by mass spectrometry	1	UPS2_MTRX_R01.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E_coli_5	Escherichia coli	cell	not available	5	not available	not available	not available	not available	not available	Proteomic_Assay_11	proteomic profiling by mass spectrometry	1	HPL_ISTD_R01.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
E_coli_6	Escherichia coli	cell	not available	6	not available	not available	not available	not available	not available	Proteomic_Assay_12	proteomic profiling by mass spectrometry	1	E_coli_matrix_R02.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	15 ppm	0.01 Da	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
