source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20220118_VC_Plate7.msf	20220118_VC_Plate7.msf	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20220118_VC_Plate7.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20220118_VC_Plate7.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20220118_VC_Plate8_ACN.msf	20220118_VC_Plate8_ACN.msf	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20220118_VC_Plate8_ACN.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20220118_VC_Plate8_ACN.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20221219_VC-P12-3	20221219_VC-P12-3	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20221219_VC-P12-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20221219_VC-P12-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20221219_VC-P13-2	20221219_VC-P13-2	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20221219_VC-P13-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20221219_VC-P13-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20221219_VC-P13-3	20221219_VC-P13-3	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20221219_VC-P13-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20221219_VC-P13-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20221219_VC-P14-1	20221219_VC-P14-1	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20221219_VC-P14-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20221219_VC-P14-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20221219_VC-P14-3	20221219_VC-P14-3	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20221219_VC-P14-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20221219_VC-P14-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20221219_VC-P15-1	20221219_VC-P15-1	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20221219_VC-P15-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20221219_VC-P15-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20221219_VC-P2-2	20221219_VC-P2-2	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20221219_VC-P2-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20221219_VC-P2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20221219_VC-P4-1	20221219_VC-P4-1	metagenome	not available	not applicable	not available	High-throughput_screening_of_effects_of_90_xenobiotics_on_the_Simplified_Human_Gut_Microbiota_Model_SIHUMIx_A_Metaproteomic_and_Metabolomic_Study	not available	not available	not available	not available	not available	not available	1	20221219_VC-P4-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20221219_VC-P4-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
