source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
proteome_fr58	Mus musculus	Myotube	not applicable	not available	1	proteome_fr58	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	58	1	proteome_fr58.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr26	Mus musculus	Myotube	not applicable	not available	1	proteome_fr26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	26	1	proteome_fr26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr9	Mus musculus	Myotube	not applicable	not available	1	proteome_fr9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	9	1	proteome_fr9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr63	Mus musculus	Myotube	not applicable	not available	1	proteome_fr63	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	63	1	proteome_fr63.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr63.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr2	Mus musculus	Myotube	not applicable	not available	1	proteome_fr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	2	1	proteome_fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr50	Mus musculus	Myotube	not applicable	not available	1	proteome_fr50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	50	1	proteome_fr50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr39	Mus musculus	Myotube	not applicable	not available	1	proteome_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	39	1	proteome_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr35	Mus musculus	Myotube	not applicable	not available	1	proteome_fr35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	35	1	proteome_fr35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr16	Mus musculus	Myotube	not applicable	not available	1	proteome_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	16	1	proteome_fr16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
proteome_fr68	Mus musculus	Myotube	not applicable	not available	1	proteome_fr68	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	68	1	proteome_fr68.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000878/proteome_fr68.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Myotube
