source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F11_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F11_R1.raw	1	11	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F1_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F1_R1.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F5_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F5_R1.raw	3	5	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F5_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F5_R2.raw	4	5	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F2_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F2_R2.raw	5	2	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F6_R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F6_R3.raw	6	6	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 7	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F4_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F4_R1.raw	7	4	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 8	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F5_R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F5_R3.raw	8	5	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 9	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F7_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F7_R1.raw	9	7	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 10	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F11_R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F11_R3.raw	10	11	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 11	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F12_R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F12_R3.raw	11	12	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 12	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F7_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F7_R2.raw	12	7	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 13	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F6_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F6_R1.raw	13	6	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 14	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F11_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F11_R2.raw	14	11	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
PXD040549-Sample-1	Mycobacterium intracellulare ATCC 13950	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 15	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	M_intracellulare_TP_F10_R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD040549/M_intracellulare_TP_F10_R3.raw	15	10	NT=label free sample;AC=MS:1002038	NT=Orbitrap fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Mycobacterium intracellulare ATCC 13950;AC=NCBITaxon:487521
