source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[growth condition]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[growth condition]
hela_Prontosil	Homo sapiens	Cell culture	not available	1	Prontosil	B_D150216_S159-HeLa-Prontosil_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	02	1	B_D150216_S159-HeLa-Prontosil_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	Prontosil
hela_DrMaisch	Homo sapiens	Cell culture	not available	1	DrMaisch	B_D150217_S159-HeLa-DrMaisch_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	02	1	B_D150217_S159-HeLa-DrMaisch_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	DrMaisch
hela_Bioshell	Homo sapiens	Cell culture	not available	1	Bioshell	B_D150218_S159-HeLa-Bioshell_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	02	1	B_D150218_S159-HeLa-Bioshell_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	Bioshell
hela_Kinetex	Homo sapiens	Cell culture	not available	1	Kinetex	B_D150218_S159-HeLa-Kinetex_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	02	1	B_D150218_S159-HeLa-Kinetex_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	Kinetex
hela_Aeris	Homo sapiens	Cell culture	not available	1	Aeris	B_D150220_S159-HeLa-Aeris_MHRM_R03_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	03	1	B_D150220_S159-HeLa-Aeris_MHRM_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	Aeris
hela_Acquity	Homo sapiens	Cell culture	not available	1	Acquity	B_D150415_S159-HeLa-Acquity_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	01	1	B_D150415_S159-HeLa-Acquity_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	Acquity
hela_30cm	Homo sapiens	Cell culture	not available	1	30cm	B_D150507_S159-HeLa-30cm_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	01	1	B_D150507_S159-HeLa-30cm_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	30cm
hela_40cm	Homo sapiens	Cell culture	not available	1	40cm	B_D150508_S159-HeLa-40cm_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	02	1	B_D150508_S159-HeLa-40cm_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	40cm
hela_default	Homo sapiens	Cell culture	not available	1	default	B_D150508_S159-HeLa_MHRM_R03_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	03	1	B_D150508_S159-HeLa_MHRM_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	default
hela_20cm	Homo sapiens	Cell culture	not available	1	20cm	B_D150512_S159-HeLa-20cm_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	02	1	B_D150512_S159-HeLa-20cm_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	20cm
