source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[phenotype]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]	factor value[compound]
HBL-2_IR_DMSO1	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib resistant	dimethyl sulfoxide	not applicable	6 hour	1	run 1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	HBL2_IR_DMSO1_run1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib resistant	dimethyl sulfoxide
HBL-2_IR_DMSO1	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib resistant	dimethyl sulfoxide	not applicable	6 hour	1	run 2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	HBL2_IR_DMSO1_run2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib resistant	dimethyl sulfoxide
HBL-2_IR_DMSO2	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib resistant	dimethyl sulfoxide	not applicable	6 hour	2	run 3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	HBL2_IR_DMSO2_run1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib resistant	dimethyl sulfoxide
HBL-2_IR_DMSO2	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib resistant	dimethyl sulfoxide	not applicable	6 hour	2	run 4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	HBL2_IR_DMSO2_run2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib resistant	dimethyl sulfoxide
HBL-2_IR_PCI1	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib resistant	ibrutinib	2 uM	6 hour	1	run 5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	HBL2_IR_PCI1_run1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib resistant	ibrutinib
HBL-2_IR_PCI1	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib resistant	ibrutinib	2 uM	6 hour	1	run 6	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	HBL2_IR_PCI1_run2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib resistant	ibrutinib
HBL-2_IR_PCI2	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib resistant	ibrutinib	2 uM	6 hour	2	run 7	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	HBL2_IR_PCI2_run1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib resistant	ibrutinib
HBL-2_IR_PCI2	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib resistant	ibrutinib	2 uM	6 hour	2	run 8	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	HBL2_IR_PCI2_run2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib resistant	ibrutinib
HBL-2_S_DMSO1	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib sensitive	dimethyl sulfoxide	not applicable	6 hour	1	run 9	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	HBL2_S_DMSO1_run1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib sensitive	dimethyl sulfoxide
HBL-2_S_DMSO1	Homo sapiens	cervical lymph node	B cell	mantle cell lymphoma	HBL-2 cell	CVCL_4216	HBL-2 [Human mantle cell lymphoma]	cell line	84Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	ibrutinib sensitive	dimethyl sulfoxide	not applicable	6 hour	1	run 10	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	not available	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	HBL2_S_DMSO1_run2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	ibrutinib sensitive	dimethyl sulfoxide
