source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[culture vessel]	characteristics[bile salt composition]	characteristics[culturing time]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[culture vessel]	factor value[bile salt composition]	factor value[culturing time]
Sample1	Sample1	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	96-deep-well plate	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available	3	Assay1	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WP3.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available
Sample2	Sample2	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available	1	Assay2	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WS1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available
Sample3	Sample3	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	0 day	1	Assay3	proteomic profiling by mass spectrometry	3	Leyuan20190121_CulturingTimeTest_0d_V4_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	0 day
Sample4	Sample4	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	3	Assay4	proteomic profiling by mass spectrometry	3	Leyuan_20170411_96WellValidation_0hC3.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample5	Sample5	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	96-deep-well plate	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available	1	Assay5	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WP1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available
Sample6	Sample6	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	96-deep-well plate	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available	2	Assay6	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WP2.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available
Sample7	Sample7	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	96-deep-well plate	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available	4	Assay7	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WP4.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available
Sample8	Sample8	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	culture tube	commercial bile salts (sodium cholate, sodium deoxycholate)	not available	2	Assay8	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_TS2.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	culture tube	commercial bile salts (sodium cholate, sodium deoxycholate)	not available
Sample9	Sample9	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available	4	Assay9	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WS4.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available
Sample10	Sample10	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	0 day	1	Assay10	proteomic profiling by mass spectrometry	2	Leyuan20190121_CulturingTimeTest_0d_V4_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	0 day
