source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
1DLC051714_UCB_CB_15_I_rep1.msf	1DLC051714_UCB_CB_15_I_rep1.msf	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_I_rep1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_I_rep1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_I_rep1	1DLC051714_UCB_CB_15_I_rep1	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_I_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_I_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_I_rep2.msf	1DLC051714_UCB_CB_15_I_rep2.msf	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_I_rep2.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_I_rep2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_I_rep2	1DLC051714_UCB_CB_15_I_rep2	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_I_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_I_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_II_rep1.msf	1DLC051714_UCB_CB_15_II_rep1.msf	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_II_rep1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_II_rep1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_II_rep1	1DLC051714_UCB_CB_15_II_rep1	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_II_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_II_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_II_rep2.msf	1DLC051714_UCB_CB_15_II_rep2.msf	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_II_rep2.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_II_rep2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_II_rep2	1DLC051714_UCB_CB_15_II_rep2	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_II_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_II_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_III_rep1.msf	1DLC051714_UCB_CB_15_III_rep1.msf	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_III_rep1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_III_rep1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
1DLC051714_UCB_CB_15_III_rep1	1DLC051714_UCB_CB_15_III_rep1	Homo sapiens	Urine	not applicable	not available	Actinobaculum_massiliense_proteome_profiled_in_polymicrobial_urethral_catheter_biofilms	Urine	Urine	not available	not available	not available	not available	1	1DLC051714_UCB_CB_15_III_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	1DLC051714_UCB_CB_15_III_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Urine
