source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_10	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	10	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_11	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	11	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_12	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	12	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_13	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	13	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_14	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	14	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_15	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	15	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_16	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	16	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_17	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	17	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
TPC-1 replicate 1	Homo sapiens	not applicable	papillary thyroid carcinoma	TPC-1	not available	cell line	1	not available	not available	not available	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_18	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	18	1	A20240524lyumg_thyroid_complex_TPC-1_NO1_30minDIA_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	TPC-1
