source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
brain_Foxo_null_mutant_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	Foxo null mutant	tissue	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_Foxo_null_mutant_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	Foxo null mutant	tissue	2	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_Foxo_null_mutant_rep3	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	Foxo null mutant	tissue	3	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_Foxo_null_mutant_rep4	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	Foxo null mutant	tissue	4	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample07.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_Foxo_null_mutant_rep5	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	Foxo null mutant	tissue	5	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample08.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_Foxo_null_mutant_rep6	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	Foxo null mutant	tissue	6	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample09.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr	tissue	1	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr	tissue	2	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_rep3	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr	tissue	3	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_rep4	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr	tissue	4	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_rep5	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr	tissue	5	run_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_rep6	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr	tissue	6	run_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_Foxo_null_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr, Foxo null	tissue	1	run_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample19.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_Foxo_null_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr, Foxo null	tissue	2	run_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_Foxo_null_rep3	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr, Foxo null	tissue	3	run_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample21.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_Foxo_null_rep4	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr, Foxo null	tissue	4	run_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample22.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_Foxo_null_rep5	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr, Foxo null	tissue	5	run_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample23.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_InsP3_Gal4_UAS_rpr_Foxo_null_rep6	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	InsP3-Gal4/UAS-rpr, Foxo null	tissue	6	run_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample24.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_wDah_control_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	wDah control	tissue	1	run_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_wDah_control_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	wDah control	tissue	1	run_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	Sample01HighRes.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
brain_wDah_control_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	10 day	female	Dahomey	wDah control	tissue	2	run_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
