source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
201417_PS_Syn6803wt_dimethylMix_TiO2_5	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	5	201417_PS_Syn6803wt_dimethylMix_TiO2_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	201417_PS_Syn6803wt_dimethylMix_TiO2_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/201417_PS_Syn6803wt_dimethylMix_TiO2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep2_Phospho04	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep2_Phospho04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep1_Phospho03	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep1_Phospho03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep1_Phospho01	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep1_Phospho01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep1_Phospho02	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep1_Phospho02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
201417_PS_Syn6803wt_dimethylMix_TiO2_2	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	2	201417_PS_Syn6803wt_dimethylMix_TiO2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	201417_PS_Syn6803wt_dimethylMix_TiO2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/201417_PS_Syn6803wt_dimethylMix_TiO2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20130708_PS_Phosphotest_6803wt_SDS05	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20130708_PS_Phosphotest_6803wt_SDS05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20130708_PS_Phosphotest_6803wt_SDS05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20130708_PS_Phosphotest_6803wt_SDS05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20130708_PS_Phosphotest_6803wt_FASP05	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20130708_PS_Phosphotest_6803wt_FASP05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20130708_PS_Phosphotest_6803wt_FASP05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20130708_PS_Phosphotest_6803wt_FASP05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_Phospho4	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_Phospho4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep2_Phospho07	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep2_Phospho07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep1_Phospho07	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep1_Phospho07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141022_PS_Syn6803wt_dimethylMix_OG8_remeasured	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141022_PS_Syn6803wt_dimethylMix_OG8_remeasured	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141022_PS_Syn6803wt_dimethylMix_OG8_remeasured.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141022_PS_Syn6803wt_dimethylMix_OG8_remeasured.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
201417_PS_Syn6803wt_dimethylMix_OG4	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	201417_PS_Syn6803wt_dimethylMix_OG4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	201417_PS_Syn6803wt_dimethylMix_OG4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/201417_PS_Syn6803wt_dimethylMix_OG4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_OG6	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_OG6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
201417_PS_Syn6803wt_dimethylMix_TiO2_6	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	6	201417_PS_Syn6803wt_dimethylMix_TiO2_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	201417_PS_Syn6803wt_dimethylMix_TiO2_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/201417_PS_Syn6803wt_dimethylMix_TiO2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_OG7	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_OG7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep2_Phospho02	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep2_Phospho02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_OG10_secondinjection	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG10_secondinjection	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG10_secondinjection.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_OG10_secondinjection.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
201417_PS_Syn6803wt_dimethylMix_TiO2_1	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	201417_PS_Syn6803wt_dimethylMix_TiO2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	201417_PS_Syn6803wt_dimethylMix_TiO2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/201417_PS_Syn6803wt_dimethylMix_TiO2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_Phospho2	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_Phospho2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
201417_PS_Syn6803wt_dimethylMix_OG1	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	201417_PS_Syn6803wt_dimethylMix_OG1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	201417_PS_Syn6803wt_dimethylMix_OG1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/201417_PS_Syn6803wt_dimethylMix_OG1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_Phospho7	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_Phospho7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_Phospho3	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_Phospho3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
201417_PS_Syn6803wt_dimethylMix_OG3	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	201417_PS_Syn6803wt_dimethylMix_OG3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	201417_PS_Syn6803wt_dimethylMix_OG3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/201417_PS_Syn6803wt_dimethylMix_OG3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
