source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20130708_PS_Phosphotest_6803wt_YPER02	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20130708_PS_Phosphotest_6803wt_YPER02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20130708_PS_Phosphotest_6803wt_YPER02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20130708_PS_Phosphotest_6803wt_YPER02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_OG5	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_OG5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20130708_PS_Phosphotest_6803wt_YPER01	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20130708_PS_Phosphotest_6803wt_YPER01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20130708_PS_Phosphotest_6803wt_YPER01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20130708_PS_Phosphotest_6803wt_YPER01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_OG3	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_OG3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
201417_PS_Syn6803wt_dimethylMix_TiO2_4	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	4	201417_PS_Syn6803wt_dimethylMix_TiO2_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	201417_PS_Syn6803wt_dimethylMix_TiO2_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/201417_PS_Syn6803wt_dimethylMix_TiO2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_OG4	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_OG4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep2_Phospho01	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep2_Phospho01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20130708_PS_Phosphotest_6803wt_SDS04	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20130708_PS_Phosphotest_6803wt_SDS04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20130708_PS_Phosphotest_6803wt_SDS04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20130708_PS_Phosphotest_6803wt_SDS04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep2_Phospho08	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep2_Phospho08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_OG11	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_OG11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
