source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
PGL3_FL_125mM_1	Escherichia coli	not applicable	not applicable	1	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL3_FL_125mM_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL1_FL_500mM_1	Escherichia coli	not applicable	not applicable	1	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL1_FL_500mM_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL3_FL_500mM_1	Escherichia coli	not applicable	not applicable	1	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL3_FL_500mM_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL1_D1D2_125mM_1	Escherichia coli	not applicable	not applicable	1	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL1_D1D2_125mM_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL3_FL_500mM_2	Escherichia coli	not applicable	not applicable	2	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL3_FL_500mM_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL3_D1D2_125mM_1	Escherichia coli	not applicable	not applicable	1	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL3_D1D2_125mM_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL1_FL_500mM_2	Escherichia coli	not applicable	not applicable	2	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL1_FL_500mM_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL1_D1D2_125mM_2	Escherichia coli	not applicable	not applicable	2	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL1_D1D2_125mM_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL3_FL_125mM_2	Escherichia coli	not applicable	not applicable	2	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL3_FL_125mM_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
PGL1_FL_125mM_1	Escherichia coli	not applicable	not applicable	1	not applicable	LC-MS/MS	proteomic profiling by mass spectrometry	1	20240828_PGL1_FL_125mM_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available
