source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
210219_40_Orbi2_KN_SER_G90_T120_Oras_RIB_GAM042	210219_40_Orbi2_KN_SER_G90_T120_Oras_RIB_GAM042	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210219_40_Orbi2_KN_SER_G90_T120_Oras_RIB_GAM042	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210219_40_Orbi2_KN_SER_G90_T120_Oras_RIB_GAM042.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_06_Orbi2_KN_SER_G90_T120_Oras_blank_260221	210305_06_Orbi2_KN_SER_G90_T120_Oras_blank_260221	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_06_Orbi2_KN_SER_G90_T120_Oras_blank_260221	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_06_Orbi2_KN_SER_G90_T120_Oras_blank_260221.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_09_Orbi2_KN_SER_G90_T120_Oras_PSN223	210305_09_Orbi2_KN_SER_G90_T120_Oras_PSN223	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_09_Orbi2_KN_SER_G90_T120_Oras_PSN223	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_09_Orbi2_KN_SER_G90_T120_Oras_PSN223.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_12_Orbi2_KN_SER_G90_T120_Oras_PSN403	210305_12_Orbi2_KN_SER_G90_T120_Oras_PSN403	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_12_Orbi2_KN_SER_G90_T120_Oras_PSN403	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_12_Orbi2_KN_SER_G90_T120_Oras_PSN403.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_18_Orbi2_KN_SER_G90_T120_Oras_PSN460	210305_18_Orbi2_KN_SER_G90_T120_Oras_PSN460	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_18_Orbi2_KN_SER_G90_T120_Oras_PSN460	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_18_Orbi2_KN_SER_G90_T120_Oras_PSN460.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_21_Orbi2_KN_SER_G90_T120_Oras_PSN509	210305_21_Orbi2_KN_SER_G90_T120_Oras_PSN509	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_21_Orbi2_KN_SER_G90_T120_Oras_PSN509	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_21_Orbi2_KN_SER_G90_T120_Oras_PSN509.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_24_Orbi2_KN_SER_G90_T120_Oras_PSN518	210305_24_Orbi2_KN_SER_G90_T120_Oras_PSN518	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_24_Orbi2_KN_SER_G90_T120_Oras_PSN518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_24_Orbi2_KN_SER_G90_T120_Oras_PSN518.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_27_Orbi2_KN_SER_G90_T120_Oras_PSN559	210305_27_Orbi2_KN_SER_G90_T120_Oras_PSN559	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_27_Orbi2_KN_SER_G90_T120_Oras_PSN559	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_27_Orbi2_KN_SER_G90_T120_Oras_PSN559.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_30_Orbi2_KN_SER_G90_T120_Oras_PSN616	210305_30_Orbi2_KN_SER_G90_T120_Oras_PSN616	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_30_Orbi2_KN_SER_G90_T120_Oras_PSN616	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_30_Orbi2_KN_SER_G90_T120_Oras_PSN616.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
210305_33_Orbi2_KN_SER_G90_T120_Oras_PSN842	210305_33_Orbi2_KN_SER_G90_T120_Oras_PSN842	Rattus rattus	not available	not applicable	not available	Bone_adhered_sediments_as_a_source_of_target_and_environmental_DNA_and_proteins	not available	not available	not available	not available	not available	not available	1	210305_33_Orbi2_KN_SER_G90_T120_Oras_PSN842	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	210305_33_Orbi2_KN_SER_G90_T120_Oras_PSN842.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
