source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Seq33273_E1O1.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq33273_E1O1.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq33273_E1O1.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq33273_E1O1.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq33289_E2O2.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq33289_E2O2.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq33289_E2O2.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq33289_E2O2.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq33293_E2O2.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq33293_E2O2.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq33293_E2O2.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq33293_E2O2.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq32520_E2O2.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq32520_E2O2.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq32520_E2O2.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq32520_E2O2.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq32506_E1O1.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq32506_E1O1.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq32506_E1O1.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq32506_E1O1.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq33575_E2O2.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq33575_E2O2.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq33575_E2O2.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq33575_E2O2.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq33580_E2O2.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq33580_E2O2.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq33580_E2O2.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq33580_E2O2.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq33574_E1O1.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq33574_E1O1.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq33574_E1O1.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq33574_E1O1.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq33267_E1O1.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq33267_E1O1.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq33267_E1O1.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq33267_E1O1.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Seq33609_E2O2.mzData	leishmania donovani	serum	THP-1 cell	not available	enrichment of phosphorylated protein	THP-1	CVCL_0006	THP-1	1	Seq33609_E2O2.mzData	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Seq33609_E2O2.mzData	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002830/Seq33609_E2O2.mzData	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
