source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
m15750_pro_TMT24_F9	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15750_pro_TMT24_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	9	1	m15750_pro_TMT24_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15750_pro_TMT24_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
a11671_phosMSA_TMT15	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	a11671_phosMSA_TMT15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	a11671_phosMSA_TMT15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/a11671_phosMSA_TMT15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15559_pro_TMT23_F3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15559_pro_TMT23_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	m15559_pro_TMT23_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15559_pro_TMT23_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
a08580_phos_TMT19	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	a08580_phos_TMT19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	a08580_phos_TMT19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/a08580_phos_TMT19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15589_pro_TMT27_F7	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15589_pro_TMT27_F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	7	1	m15589_pro_TMT27_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15589_pro_TMT27_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
a08596_phos_TMT8	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	a08596_phos_TMT8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	a08596_phos_TMT8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/a08596_phos_TMT8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15652_pro_TMT10_F2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15652_pro_TMT10_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	2	1	m15652_pro_TMT10_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15652_pro_TMT10_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15497_pro_TMT13_F6	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15497_pro_TMT13_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	6	1	m15497_pro_TMT13_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15497_pro_TMT13_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15481_pro_TMT11_F3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15481_pro_TMT11_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	m15481_pro_TMT11_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15481_pro_TMT11_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15572_pro_TMT25_F3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15572_pro_TMT25_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	m15572_pro_TMT25_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15572_pro_TMT25_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15770_pro_TMT28_F3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15770_pro_TMT28_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	m15770_pro_TMT28_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15770_pro_TMT28_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15581_pro_TMT25_F12	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15581_pro_TMT25_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	12	1	m15581_pro_TMT25_F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15581_pro_TMT25_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15471_pro_TMT9_F6	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15471_pro_TMT9_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	6	1	m15471_pro_TMT9_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15471_pro_TMT9_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15570_pro_TMT25_F1	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15570_pro_TMT25_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	m15570_pro_TMT25_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15570_pro_TMT25_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15548_pro_TMT21_F5	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15548_pro_TMT21_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	5	1	m15548_pro_TMT21_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15548_pro_TMT21_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
