source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	factor value[cell type]	factor value[genotype]
mouse 103M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	3	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	103M	20230628_TIMS06_FAR_SA_S250_MouseAAT__103M_central_S3-B1_1_9584	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__103M_central_S3-B1_1_9584.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 103M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	3	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	103M	20230628_TIMS06_FAR_SA_S250_MouseAAT__103M_intermediate_S3-B2_1_9585	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__103M_intermediate_S3-B2_1_9585.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 103M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	3	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	103M	20230628_TIMS06_FAR_SA_S250_MouseAAT__103M_portal_S3-B3_1_9586	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__103M_portal_S3-B3_1_9586.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 129 central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	4	normal	adult	not available	not available	8W	Alb-Cre	129	20230628_TIMS06_FAR_SA_S250_MouseAAT__129_central_S3-G1_1_9629	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__129_central_S3-G1_1_9629.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre
mouse 129 intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	4	normal	adult	not available	not available	8W	Alb-Cre	129	20230628_TIMS06_FAR_SA_S250_MouseAAT__129_intermediate_S3-G2_1_9630	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__129_intermediate_S3-G2_1_9630.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	midzonal region hepatocyte	Alb-Cre
mouse 129 portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	4	normal	adult	not available	not available	8W	Alb-Cre	129	20230628_TIMS06_FAR_SA_S250_MouseAAT__129_portal_S3-G3_1_9631	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__129_portal_S3-G3_1_9631.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	periportal region hepatocyte	Alb-Cre
mouse 179 central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	5	normal	adult	not available	not available	8W	Alb-Cre	179	20230628_TIMS06_FAR_SA_S250_MouseAAT__179_central_S3-D7_1_9608	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__179_central_S3-D7_1_9608.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre
mouse 179 intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	5	normal	adult	not available	not available	8W	Alb-Cre	179	20230628_TIMS06_FAR_SA_S250_MouseAAT__179_intermediate_S3-D8_1_9609	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__179_intermediate_S3-D8_1_9609.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	Alb-Cre
mouse 179 portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	5	normal	adult	not available	not available	8W	Alb-Cre	179	20230628_TIMS06_FAR_SA_S250_MouseAAT__179_portal_S3-D9_1_9610	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__179_portal_S3-D9_1_9610.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	Alb-Cre
mouse 190M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	3	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	190M	20230628_TIMS06_FAR_SA_S250_MouseAAT__190M_central_S3-B7_1_9590	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__190M_central_S3-B7_1_9590.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
