source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
E07393_1p_25_Alan_ubicofradic_fr56	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07393_1p_25_Alan_ubicofradic_fr56	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	56	1	E07393_1p_25_Alan_ubicofradic_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07393_1p_25_Alan_ubicofradic_fr56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07449_2p_25_Alan_ubicofradic_blanc_fr19	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07449_2p_25_Alan_ubicofradic_blanc_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	19	1	E07449_2p_25_Alan_ubicofradic_blanc_fr19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07449_2p_25_Alan_ubicofradic_blanc_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07477_2p_25_Alan_ubicofradic_blanc_fr47	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07477_2p_25_Alan_ubicofradic_blanc_fr47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	47	1	E07477_2p_25_Alan_ubicofradic_blanc_fr47.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07477_2p_25_Alan_ubicofradic_blanc_fr47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07367_1p_25_Alan_ubicofradic_fr32	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07367_1p_25_Alan_ubicofradic_fr32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	32	1	E07367_1p_25_Alan_ubicofradic_fr32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07367_1p_25_Alan_ubicofradic_fr32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07410_2p_25_Alan_ubicofradic_fr73	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07410_2p_25_Alan_ubicofradic_fr73	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	73	1	E07410_2p_25_Alan_ubicofradic_fr73.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07410_2p_25_Alan_ubicofradic_fr73.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07440_2p_25_Alan_ubicofradic_blanc_fr10	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07440_2p_25_Alan_ubicofradic_blanc_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	10	1	E07440_2p_25_Alan_ubicofradic_blanc_fr10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07440_2p_25_Alan_ubicofradic_blanc_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07400_2p_25_Alan_ubicofradic_fr63	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07400_2p_25_Alan_ubicofradic_fr63	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	63	1	E07400_2p_25_Alan_ubicofradic_fr63.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07400_2p_25_Alan_ubicofradic_fr63.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07445_2p_25_Alan_ubicofradic_blanc_fr15	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07445_2p_25_Alan_ubicofradic_blanc_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	15	1	E07445_2p_25_Alan_ubicofradic_blanc_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07445_2p_25_Alan_ubicofradic_blanc_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07469_2p_25_Alan_ubicofradic_blanc_fr39	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07469_2p_25_Alan_ubicofradic_blanc_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	39	1	E07469_2p_25_Alan_ubicofradic_blanc_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07469_2p_25_Alan_ubicofradic_blanc_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07466_1p_25_Alan_ubicofradic_blanc_fr36	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07466_1p_25_Alan_ubicofradic_blanc_fr36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	36	1	E07466_1p_25_Alan_ubicofradic_blanc_fr36.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07466_1p_25_Alan_ubicofradic_blanc_fr36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
