source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20230116_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_Tmem81_1	Danio rerio	spermatozoon	not available	1	20230116_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_Tmem81_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230116_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_Tmem81_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_2	Danio rerio	spermatozoon	not available	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_3	Danio rerio	spermatozoon	not available	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_4	Danio rerio	spermatozoon	not available	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_TMEM81_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_1	Danio rerio	spermatozoon	not available	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_2	Danio rerio	spermatozoon	not available	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_3	Danio rerio	spermatozoon	not available	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_4	Danio rerio	spermatozoon	not available	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230126_E3_RSLC6_FAIMS_Deneke_Pauli_IMP_id1012_onbead_20per_WT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230503_E1_RSLC10_Deneke_Pauli_IMP_ID1150_onbead_dig_try_40per_control_WT	Danio rerio	spermatozoon	not available	1	20230503_E1_RSLC10_Deneke_Pauli_IMP_ID1150_onbead_dig_try_40per_control_WT	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230503_E1_RSLC10_Deneke_Pauli_IMP_ID1150_onbead_dig_try_40per_control_WT.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
20230503_E1_RSLC10_Deneke_Pauli_IMP_ID1150_onbead_dig_try_40per_sample_Tmem81_3xFLAG	Danio rerio	spermatozoon	not available	1	20230503_E1_RSLC10_Deneke_Pauli_IMP_ID1150_onbead_dig_try_40per_sample_Tmem81_3xFLAG	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20230503_E1_RSLC10_Deneke_Pauli_IMP_ID1150_onbead_dig_try_40per_sample_Tmem81_3xFLAG.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spermatozoon
