source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Sample1	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230623_OE2_BN8517-15_20_61_2-_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample2	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0875-18_10_64-1-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample3	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0872-18_7_60-1-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample4	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230523_OE2_BN8156-15_2_46L_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample5	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0882-18_17_56-2_NOTAG_NODETERGENT_20240319224737.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample6	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240502_OE1_BO1440-18_15_58-3_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample7	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240502_OE1_BO1449-18_24_55-3-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample8	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240502_OE1_BO1441-18_16_61-1_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample9	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0873-18_8_60-2-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample10	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0869-18_4_56-1-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
