source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20180815_FJ_LHB_Mitchi_Glucose1	20180815_FJ_LHB_Mitchi_Glucose1	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_LHB_Mitchi_Glucose1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_LHB_Mitchi_Glucose1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20180815_FJ_LHB_Mitchi_Glucose2	20180815_FJ_LHB_Mitchi_Glucose2	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_LHB_Mitchi_Glucose2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_LHB_Mitchi_Glucose2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20180815_FJ_LHB_Mitchi_Glucose3	20180815_FJ_LHB_Mitchi_Glucose3	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_LHB_Mitchi_Glucose3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_LHB_Mitchi_Glucose3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20180815_FJ_LHB_Mitchi_Glucose4	20180815_FJ_LHB_Mitchi_Glucose4	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_LHB_Mitchi_Glucose4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_LHB_Mitchi_Glucose4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20180815_FJ_LHB_Mitchi_LNT1	20180815_FJ_LHB_Mitchi_LNT1	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_LHB_Mitchi_LNT1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_LHB_Mitchi_LNT1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20180815_FJ_LHB_Mitchi_LNT2	20180815_FJ_LHB_Mitchi_LNT2	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_LHB_Mitchi_LNT2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_LHB_Mitchi_LNT2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20180815_FJ_LHB_Mitchi_LNT3	20180815_FJ_LHB_Mitchi_LNT3	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_LHB_Mitchi_LNT3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_LHB_Mitchi_LNT3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20180815_FJ_LHB_Mitchi_LNT4	20180815_FJ_LHB_Mitchi_LNT4	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_LHB_Mitchi_LNT4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_LHB_Mitchi_LNT4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20180815_FJ_Michi_Pilot.pdResult	20180815_FJ_Michi_Pilot.pdResult	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20180815_FJ_Michi_Pilot.pdResult	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20180815_FJ_Michi_Pilot.pdResult	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190118_EV_Michi_CoCulture_RvsG_all3rep_anova.pdResult	20190118_EV_Michi_CoCulture_RvsG_all3rep_anova.pdResult	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190118_EV_Michi_CoCulture_RvsG_all3rep_anova.pdResult	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190118_EV_Michi_CoCulture_RvsG_all3rep_anova.pdResult	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
