source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[treatment]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
hypothalamus_heavy_fast_bird1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	1	run_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	141113_1heavyfast_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	1	run_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	141113_1heavyfast_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	2	run_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	141113_2heavyfast_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	2	run_4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	141113_2heavyfast_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	3	run_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	141113_3heavyfast_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	3	run_6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	141113_3heavyfast_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird4	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	4	run_7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	141113_4heavyfast_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird4	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	4	run_8	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	141113_4heavyfast_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird5	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	5	run_9	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	141113_5heavyfast_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
hypothalamus_heavy_fast_bird5	NT=Gallus gallus;AC=NCBITaxon:9031	NT=hypothalamus;AC=UBERON:0001898	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	high body weight selected line (HWS)	fasting	tissue	5	run_10	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Synapt G2-S HDMS;AC=MS:1001779	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	141113_5heavyfast_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	fasting
