source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[genotype]
WT_cd_1	Mus musculus	hippocampal formation	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	1	XB00560B1DA_WT_cd_1_Slot1-37_1_26586	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_WT_cd_1_Slot1-37_1_26586.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	wild type
F_sq_1	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	C57BL/6	5xFAD	1	XB00560B1DA_F_sq_1_Slot1-46_1_26598	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_F_sq_1_Slot1-46_1_26598.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease	5xFAD
F_sq_3	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	C57BL/6	5xFAD	3	XB00560B1DA_F_sq_3_Slot1-48_1_26600	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_F_sq_3_Slot1-48_1_26600.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease	5xFAD
F_cd_2	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	C57BL/6	5xFAD	2	XB00560B1DA_F_cd_2_Slot1-41_1_26591	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_F_cd_2_Slot1-41_1_26591.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease	5xFAD
WT_cd_2	Mus musculus	hippocampal formation	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	2	XB00560B1DA_WT_cd_2_Slot1-38_1_26587	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_WT_cd_2_Slot1-38_1_26587.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	wild type
F_sq_2	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	C57BL/6	5xFAD	2	XB00560B1DA_F_sq_2_Slot1-47_1_26599	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_F_sq_2_Slot1-47_1_26599.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease	5xFAD
WT_sq_1	Mus musculus	hippocampal formation	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	1	XB00560B1DA_WT_sq_1_Slot1-43_1_26594	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_WT_sq_1_Slot1-43_1_26594.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	wild type
WT_cd_3	Mus musculus	hippocampal formation	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	3	XB00560B1DA_WT_cd_3_Slot1-39_1_26588	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_WT_cd_3_Slot1-39_1_26588.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	wild type
F_cd_3	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	C57BL/6	5xFAD	3	XB00560B1DA_F_cd_3_Slot1-42_1_26592	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_F_cd_3_Slot1-42_1_26592.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease	5xFAD
F_cd_1	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	C57BL/6	5xFAD	1	XB00560B1DA_F_cd_1_Slot1-40_1_26590	proteomic profiling by mass spectrometry	NT=timsTOF;AC=MS:1003229	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	XB00560B1DA_F_cd_1_Slot1-40_1_26590.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease	5xFAD
