source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
WT_1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	NT=143B;AC=EFO:0006355	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	1	160728_0007_MB5_WT_1_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0007_MB5_WT_1_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type
WT_2	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	NT=143B;AC=EFO:0006355	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	2	160728_0001_MB5_WT_2_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0001_MB5_WT_2_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type
WT_3	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	NT=143B;AC=EFO:0006355	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	3	160728_0004_MB5_WT_3_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0004_MB5_WT_3_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type
A8MUT_4	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	143B cybrid	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	1	160728_0002_MB5_A8MUT_4_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0002_MB5_A8MUT_4_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	m.8529G>A
A8MUT_5	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	143B cybrid	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	2	160728_0005_MB5_A8MUT_5_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0005_MB5_A8MUT_5_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	m.8529G>A
A8MUT_6	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	143B cybrid	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	3	160728_0008_MB5_A8MUT_6_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0008_MB5_A8MUT_6_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	m.8529G>A
nuA8_7	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	143B cybrid	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	1	160728_0003_MB5_nuA8_7_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0003_MB5_nuA8_7_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	m.8529G>A with nuclear ATP8
nuA8_8	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	143B cybrid	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	2	160728_0006_MB5_nuA8_8_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0006_MB5_nuA8_8_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	m.8529G>A with nuclear ATP8
nuA8_9	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	143B cybrid	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	3	160728_0009_MB5_nuA8_9_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0009_MB5_nuA8_9_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	m.8529G>A with nuclear ATP8
nuA8_10	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	NT=cultured cell;AC=CL:0000010	143B cybrid	NT=osteosarcoma;AC=MONDO:0009807	not available	female	not available	cell	4	160728_0010_MB5_nuA8_10_SW1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	400	1250	not available	1	1	160728_0010_MB5_nuA8_10_SW1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	m.8529G>A with nuclear ATP8
