source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
Vector_1	Homo sapiens	prostate gland	prostate carcinoma	not available	cell	not available	not available	not available	empty vector	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35	20 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	Vector-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	empty vector
Vector_2	Homo sapiens	prostate gland	prostate carcinoma	not available	cell	not available	not available	not available	empty vector	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35	20 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	Vector-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	empty vector
Vector_3	Homo sapiens	prostate gland	prostate carcinoma	not available	cell	not available	not available	not available	empty vector	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35	20 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	Vector-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	empty vector
Flag_H1_10_1	Homo sapiens	prostate gland	prostate carcinoma	not available	cell	not available	not available	not available	Flag-H1-10 overexpression	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35	20 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	Flag-H1-10-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Flag-H1-10 overexpression
Flag_H1_10_2	Homo sapiens	prostate gland	prostate carcinoma	not available	cell	not available	not available	not available	Flag-H1-10 overexpression	2	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35	20 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	Flag-H1-10-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Flag-H1-10 overexpression
Flag_H1_10_3	Homo sapiens	prostate gland	prostate carcinoma	not available	cell	not available	not available	not available	Flag-H1-10 overexpression	3	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35	20 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	1	Flag-H1-10-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Flag-H1-10 overexpression
