source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
ProAla20_CY8612	Saccharomyces cerevisiae	not available	1	ProAla20_CY8612	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ProAla20_CY8612.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
WT2_CY8611	Saccharomyces cerevisiae	not available	1	WT2_CY8611	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	WT2_CY8611.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
WT3_CY8611	Saccharomyces cerevisiae	not available	1	WT3_CY8611	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	WT3_CY8611.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ArgSer11_CY8614	Saccharomyces cerevisiae	not available	1	ArgSer11_CY8614	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ArgSer11_CY8614.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ArgSer10_CY8614	Saccharomyces cerevisiae	not available	1	ArgSer10_CY8614	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ArgSer10_CY8614.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ProAla5_CY8612	Saccharomyces cerevisiae	not available	1	ProAla5_CY8612	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ProAla5_CY8612.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ArgSer25_CY8614	Saccharomyces cerevisiae	not available	1	ArgSer25_CY8614	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ArgSer25_CY8614.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ProAla19_CY8612	Saccharomyces cerevisiae	not available	1	ProAla19_CY8612	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ProAla19_CY8612.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
WT1_CY8611	Saccharomyces cerevisiae	not available	1	WT1_CY8611	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	WT1_CY8611.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ArgSer27_CY8614	Saccharomyces cerevisiae	not available	1	ArgSer27_CY8614	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ArgSer27_CY8614.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ProAla6_CY8612	Saccharomyces cerevisiae	not available	1	ProAla6_CY8612	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ProAla6_CY8612.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ArgSer12_CY8614	Saccharomyces cerevisiae	not available	1	ArgSer12_CY8614	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ArgSer12_CY8614.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ProAla4_CY8612	Saccharomyces cerevisiae	not available	1	ProAla4_CY8612	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	ProAla4_CY8612.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
WT17_CY8611	Saccharomyces cerevisiae	not available	1	WT17_CY8611	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	WT17_CY8611.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
WT16_CY8611	Saccharomyces cerevisiae	not available	1	WT16_CY8611	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	WT16_CY8611.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
