source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[synchronization group]
PXD064848-sample-1	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	1	PXD064848-assay-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT132C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Async
PXD064848-sample-2	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	2	PXD064848-assay-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT133N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Async
PXD064848-sample-3	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	3	PXD064848-assay-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT133C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Async
PXD064848-sample-4	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	4	PXD064848-assay-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT134N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Async
PXD064848-sample-5	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	1	PXD064848-assay-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G1
PXD064848-sample-6	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	2	PXD064848-assay-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT127N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G1
PXD064848-sample-7	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	3	PXD064848-assay-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT127C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G1
PXD064848-sample-8	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	4	PXD064848-assay-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT128N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	G1
PXD064848-sample-9	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	1	PXD064848-assay-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT128C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S
PXD064848-sample-10	Trypanosoma cruzi	not applicable	not applicable	epimastigote	whole organism	2	PXD064848-assay-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	TMT129N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	35 NCE	not available	0.6 Da	not available	not available	1	1	Ana_NP_16Plex.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S
