source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
042913-SludgeD2_31-36	042913-SludgeD2_31-36	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	042913-SludgeD2_31-36	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	042913-SludgeD2_31-36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
052313-SludgeD10_7-12b	052313-SludgeD10_7-12b	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	052313-SludgeD10_7-12b	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	052313-SludgeD10_7-12b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
052313-SludgeD12_31-36b	052313-SludgeD12_31-36b	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	052313-SludgeD12_31-36b	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	052313-SludgeD12_31-36b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
052313-SludgeD17_1-6	052313-SludgeD17_1-6	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	052313-SludgeD17_1-6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	052313-SludgeD17_1-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
052313-SludgeD18_25-30	052313-SludgeD18_25-30	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	052313-SludgeD18_25-30	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	052313-SludgeD18_25-30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
052313-SludgeD19_31-36	052313-SludgeD19_31-36	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	052313-SludgeD19_31-36	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	052313-SludgeD19_31-36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
052313-SludgeD9_1-6b	052313-SludgeD9_1-6b	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	052313-SludgeD9_1-6b	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	052313-SludgeD9_1-6b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
052313-SludgeD9_19-24b	052313-SludgeD9_19-24b	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	052313-SludgeD9_19-24b	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	052313-SludgeD9_19-24b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
060813-SludgeD14_25-30b	060813-SludgeD14_25-30b	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	060813-SludgeD14_25-30b	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	060813-SludgeD14_25-30b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
060813-SludgeD20_1-6	060813-SludgeD20_1-6	Wastewater metagenome	activated sludge	not applicable	not available	Systems_Biology_of_Lipid_Accumulating_Organisms	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	060813-SludgeD20_1-6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	060813-SludgeD20_1-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
