source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
C7898FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7898FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7898FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7898FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7682FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7682FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7682FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7682FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
H1996FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	H1996FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	H1996FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/H1996FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
H1995FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	H1995FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	H1995FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/H1995FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
H1944FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	H1944FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	H1944FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/H1944FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7483EH	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7483EH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7483EH.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7483EH.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7106FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7106FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7106FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7106FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7638FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7638FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7638FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7638FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7842FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7842FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7842FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7842FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C8113FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C8113FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C8113FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C8113FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
