source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms min charge]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[type]	factor value[sampling time]	factor value[UV crosslinking]
FP-0h-CL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	Ultraviolet Radiation	1	20240205_202_007_CDF_0hFPwithCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_202_007_CDF_0hFPwithCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	0 hour	yes
FP-0h-CL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	Ultraviolet Radiation	2	20240222_316_009_CDF_26FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240222_316_009_CDF_26FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	0 hour	yes
FP-0h-CL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	Ultraviolet Radiation	3	20240222_322_009_CDF_34FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240222_322_009_CDF_34FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	0 hour	yes
FP-0h-noCL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	untreated	1	20240205_192_007_CDF_0hFP-CL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_192_007_CDF_0hFP-CL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	0 hour	no
FP-0h-noCL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	untreated	2	20240212_254_009_CDF_25FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240212_254_009_CDF_25FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	0 hour	no
FP-0h-noCL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	untreated	3	20240212_260_009_CDF_33FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240212_260_009_CDF_33FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	0 hour	no
FP-3h-CL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	Ultraviolet Radiation	1	20240205_205_007_CDF_3hFPwithCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_205_007_CDF_3hFPwithCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	3 hour	yes
FP-3h-CL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	Ultraviolet Radiation	2	20240222_318_009_CDF_6FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240222_318_009_CDF_6FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	3 hour	yes
FP-3h-CL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	Ultraviolet Radiation	3	20240222_324_009_CDF_14FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240222_324_009_CDF_14FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	3 hour	yes
FP-3h-noCL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	untreated	1	20240205_195_007_CDF_3hFP-CL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_195_007_CDF_3hFP-CL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	3 hour	no
