source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
020817_EVvsDNA2aad_B_H7	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	020817_EVvsDNA2aad_B_H7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	020817_EVvsDNA2aad_B_H7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/020817_EVvsDNA2aad_B_H7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
102917_SvsG14NQO_A_H8	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	102917_SvsG14NQO_A_H8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	102917_SvsG14NQO_A_H8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/102917_SvsG14NQO_A_H8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
042318_G1_cdc6vs164_5pct	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	042318_G1_cdc6vs164_5pct	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	042318_G1_cdc6vs164_5pct.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/042318_G1_cdc6vs164_5pct.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
031517_MADvsSgs1MAD_H3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	031517_MADvsSgs1MAD_H3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	031517_MADvsSgs1MAD_H3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/031517_MADvsSgs1MAD_H3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
041318_G1vsG14NQO_H2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	041318_G1vsG14NQO_H2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	041318_G1vsG14NQO_H2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/041318_G1vsG14NQO_H2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
111617_MMSvsG14NQO_B_4pct	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	111617_MMSvsG14NQO_B_4pct	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	111617_MMSvsG14NQO_B_4pct.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/111617_MMSvsG14NQO_B_4pct.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
052417_Petrini_exp1_A_H7	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	052417_Petrini_exp1_A_H7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	052417_Petrini_exp1_A_H7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/052417_Petrini_exp1_A_H7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
020817_EVvsDNA2aad_B_H5	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	020817_EVvsDNA2aad_B_H5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	020817_EVvsDNA2aad_B_H5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/020817_EVvsDNA2aad_B_H5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
032918_SvsG14NQO_A_3pct	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	032918_SvsG14NQO_A_3pct	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	032918_SvsG14NQO_A_3pct.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/032918_SvsG14NQO_A_3pct.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121415_MMS_DNA2aadvsDDC1FL_HILIC_1	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	121415_MMS_DNA2aadvsDDC1FL_HILIC_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	121415_MMS_DNA2aadvsDDC1FL_HILIC_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/121415_MMS_DNA2aadvsDDC1FL_HILIC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
