source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[sampling time]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[sampling time]
sparkling wine yeast D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-1_sparkling_14_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-3_D14_45min_278.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
sparkling wine yeast D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-2_sparkling_14_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-3_D14_45min_279.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
sparkling wine yeast D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-3_sparkling_14_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-3_D14_45min_280.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
sparkling wine yeast D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-4_sparkling_30_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-3_D30_45min_134.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
sparkling wine yeast D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-5_sparkling_30_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-3_D30_45min_135.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
sparkling wine yeast D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-6_sparkling_30_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-3_D30_45min_136.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
sparkling wine yeast D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-7_sparkling_60_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-3_D60_45min_138.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
sparkling wine yeast D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-8_sparkling_60_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-3_D60_45min_139.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
sparkling wine yeast D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-9_sparkling_60_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-3_D60_45min_140.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
sparkling wine yeast D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-10_sparkling_90_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-3_D90_45min_142.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
