source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
Ecoli_F593L_brep4_trep2	Escherichia coli	cell	not available	4	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_F593L_logOD_brep4_trep2	proteomic profiling by mass spectrometry	2	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_F593L_logOD_brep4_trep2.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_P610L_brep4	Escherichia coli	cell	not available	4	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_P610L_logOD_brep4	proteomic profiling by mass spectrometry	1	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_P610L_logOD_brep4.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_A608E_brep3	Escherichia coli	cell	not available	3	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_A608E_logOD_brep3	proteomic profiling by mass spectrometry	1	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_A608E_logOD_brep3.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_MG1655_brep2	Escherichia coli	cell	not available	2	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_MG1655_logOD_brep2	proteomic profiling by mass spectrometry	1	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_MG1655_logOD_brep2.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_MG1655_brep2_trep2	Escherichia coli	cell	not available	2	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_MG1655_logOD_brep2_trep2	proteomic profiling by mass spectrometry	2	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_MG1655_logOD_brep2_trep2.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_MG1655_brep3	Escherichia coli	cell	not available	3	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_MG1655_logOD_brep3_20230402221011	proteomic profiling by mass spectrometry	1	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_MG1655_logOD_brep3_20230402221011.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_P610L_brep2_trep2	Escherichia coli	cell	not available	2	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_P610L_logOD_brep2_trep2	proteomic profiling by mass spectrometry	2	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_P610L_logOD_brep2_trep2.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_F593L_brep1	Escherichia coli	cell	not available	1	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_F593L_logOD_brep1	proteomic profiling by mass spectrometry	1	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_F593L_logOD_brep1.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_WTeng_brep4_trep2	Escherichia coli	cell	not available	4	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_WTeng_logOD_brep4_trep2	proteomic profiling by mass spectrometry	2	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_WTeng_logOD_brep4_trep2.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
Ecoli_A608E_brep1_trep2	Escherichia coli	cell	not available	1	not available	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_A608E_logOD_brep1_trep2	proteomic profiling by mass spectrometry	2	NDastidar_IW_290323_010423_Expl4_Ecoli_DIA_A608E_logOD_brep1_trep2.raw	v1.1.0	NT=data-independent acquisition;AC=MS:1003215	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=normalized higher-energy collision-induced dissociation	not available	not available	not available
