source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[genotype]	characteristics[growth phase]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[alkylation reagent]	comment[ms1 scan range]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]
Lmono_EGDe_G_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	wild type	late-exponential phase	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-12T20:23:16	1	1	TA352_G1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmono_EGDe_G_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	wild type	late-exponential phase	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-12T22:01:47	1	1	TA353_G2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmono_EGDe_G_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	wild type	late-exponential phase	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-12T23:40:07	1	1	TA354_G3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type
Lmono_EGDe_GU_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	rpsU G50C	late-exponential phase	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-13T01:18:33	1	1	TA355_GU1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rpsU G50C
Lmono_EGDe_GU_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	rpsU G50C	late-exponential phase	not pooled	2	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-13T02:56:42	1	1	TA356_GU2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rpsU G50C
Lmono_EGDe_GU_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	rpsU G50C	late-exponential phase	not pooled	3	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-13T04:35:52	1	1	TA357_GU3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rpsU G50C
Lmono_EGDe_B_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	sigB deletion	late-exponential phase	not pooled	1	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-13T06:15:09	1	1	TA358_B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sigB deletion
Lmono_EGDe_B_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	sigB deletion	late-exponential phase	not pooled	2	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-13T07:56:19	1	1	TA359_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sigB deletion
Lmono_EGDe_B_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	sigB deletion	late-exponential phase	not pooled	3	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-13T09:35:29	1	1	TA360_B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sigB deletion
Lmono_EGDe_BU_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	sigB deletion and rpsU G50C	late-exponential phase	not pooled	1	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	NT=Acrylamide (AA);AC=PRIDE:0000603	380m/z-1400m/z	2021-05-13T11:56:09	1	1	TA361_BU1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sigB deletion and rpsU G50C
