source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
He_KO05	Mus musculus	plasma	not applicable	not applicable	not available	1	Run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20210301_KO05.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
He_KO06	Mus musculus	plasma	not applicable	not applicable	not available	2	Run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20210301_KO06.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
He_KO07	Mus musculus	plasma	not applicable	not applicable	not available	3	Run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20210301_KO07.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
He_KO08	Mus musculus	plasma	not applicable	not applicable	not available	4	Run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20210301_KO08.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
He_WT01	Mus musculus	plasma	not applicable	not applicable	not available	5	Run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20210301_WT01.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
He_WT02	Mus musculus	plasma	not applicable	not applicable	not available	6	Run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20210301_WT02.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
He_WT03	Mus musculus	plasma	not applicable	not applicable	not available	7	Run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20210301_WT03.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
He_WT04	Mus musculus	plasma	not applicable	not applicable	not available	8	Run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20210301_WT04.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
JMS_ApoA5_KO_1	Mus musculus	plasma	not applicable	not applicable	not available	1	Run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	1064459_VLDL_ApoA5_KO_1_02Aug22_Oak_WBEH_22-06-16.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
JMS_ApoA5_KO_2	Mus musculus	plasma	not applicable	not applicable	not available	2	Run 10	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	1064555_VLDL_ApoA5_KO_2_02Aug22_Oak_WBEH_22-06-16.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
JMS_ApoA5_KO_3	Mus musculus	plasma	not applicable	not applicable	not available	3	Run 11	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	1064446_VLDL_ApoA5_KO_3_02Aug22_Oak_WBEH_22-06-16.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
JMS_ApoA5_KO_4	Mus musculus	plasma	not applicable	not applicable	not available	4	Run 12	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	1064351_VLDL_ApoA5_KO_4_02Aug22_Oak_WBEH_22-06-16.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
JMS_ApoA5_wt_1	Mus musculus	plasma	not applicable	not applicable	not available	5	Run 13	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	1064399_VLDL_ApoA5_wt_1_02Aug22_Oak_WBEH_22-06-16.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
JMS_ApoA5_wt_2	Mus musculus	plasma	not applicable	not applicable	not available	6	Run 14	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	1064423_VLDL_ApoA5_wt_2_02Aug22_Oak_WBEH_22-06-16.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
JMS_ApoA5_wt_3	Mus musculus	plasma	not applicable	not applicable	not available	7	Run 15	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	1064528_VLDL_ApoA5_wt_3_02Aug22_Oak_WBEH_22-06-16.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
JMS_ApoA5_wt_4	Mus musculus	plasma	not applicable	not applicable	not available	8	Run 16	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	1064324_VLDL_ApoA5_wt_4_02Aug22_Oak_WBEH_22-06-16.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
