source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[cancer cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[sex]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]
sgctrl A	homo sapiens	not applicable	not applicable	not applicable	K562	not applicable	not applicable	not applicable	1	not applicable	15699	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4961_Strefeler_DIA_15699_140min_6ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control
sgctrl B	homo sapiens	not applicable	not applicable	not applicable	K563	not applicable	not applicable	not applicable	2	not applicable	15700	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4960_Strefeler_DIA_15700_140min_6ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control
sgctrl C	homo sapiens	not applicable	not applicable	not applicable	K564	not applicable	not applicable	not applicable	3	not applicable	15701	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4959_Strefeler_DIA_15701_140min_6ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control
sgctrl D	homo sapiens	not applicable	not applicable	not applicable	K565	not applicable	not applicable	not applicable	4	not applicable	15702	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4958_Strefeler_DIA_15702_140min_6ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	control
sgNUDT5 A	homo sapiens	not applicable	not applicable	not applicable	K566	not applicable	not applicable	not applicable	5	not applicable	15703	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4955_Strefeler_DIA_15703_140min_6ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NUDT5 knockout
sgNUDT5 B	homo sapiens	not applicable	not applicable	not applicable	K567	not applicable	not applicable	not applicable	6	not applicable	15704	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4954_Strefeler_DIA_15704_140min_6ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NUDT5 knockout
sgNUDT5 C	homo sapiens	not applicable	not applicable	not applicable	K568	not applicable	not applicable	not applicable	7	not applicable	15705	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4953_Strefeler_DIA_15705_140min_6ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NUDT5 knockout
sgNUDT5 D	homo sapiens	not applicable	not applicable	not applicable	K569	not applicable	not applicable	not applicable	8	not applicable	15706	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4952_Strefeler_DIA_15706_140min_6ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NUDT5 knockout
