source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]
71103_gel_C	mus musculus	not applicable	1	not applicable	tissue	71103_skra_gel_C.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014164/71103_skra_gel_C.raw	v3.0.0	ms-proteomics v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	30 ppm	0.1 Da	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap
71103_gel_D	mus musculus	not applicable	1	not applicable	tissue	71103_skra_gel_D.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014164/71103_skra_gel_D.raw	v3.0.0	ms-proteomics v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	30 ppm	0.1 Da	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap
semi_recombinant_holo_U7_snRNP	mus musculus	not applicable	1	not applicable	tissue	71211_skra_solu_U7_HOLO.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014164/71211_skra_solu_U7_HOLO.raw	v3.0.0	ms-proteomics v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	30 ppm	0.1 Da	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap
core_U7_snRNP_no_extract	mus musculus	not applicable	1	not applicable	tissue	71211_skra_solu_U7_RING.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014164/71211_skra_solu_U7_RING.raw	v3.0.0	ms-proteomics v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	30 ppm	0.1 Da	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap
naked_U7_snRNA_extract_control	mus musculus	not applicable	1	not applicable	tissue	71211_skra_solu_U7_RNA.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014164/71211_skra_solu_U7_RNA.raw	v3.0.0	ms-proteomics v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	beam-type collision-induced dissociation	30 ppm	0.1 Da	Iodoacetamide (IAA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap
