source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
TFEB_alone	Homo sapiens	not applicable	not applicable	not applicable	synthetic	1	FL0703_MSQ1161_SAndrews_IT_TFEBalone	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	10 ppm	0.5 Da	28 NCE	1	1	FL0703_MSQ1161_SAndrews_IT_TFEBalone.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	none
TFEB_ERK	Homo sapiens	not applicable	not applicable	not applicable	synthetic	1	FL0703_MSQ1161_SAndrews_IT_TFEB_ERK	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	10 ppm	0.5 Da	28 NCE	1	1	FL0703_MSQ1161_SAndrews_IT_TFEB_ERK.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	ERK
TFEB_GSK3B	Homo sapiens	not applicable	not applicable	not applicable	synthetic	1	FL0703_MSQ1161_SAndrews_IT_TFEB_GSK	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	10 ppm	0.5 Da	28 NCE	1	1	FL0703_MSQ1161_SAndrews_IT_TFEB_GSK.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	GSK3B
TFEB_ERK_GSK3B	Homo sapiens	not applicable	not applicable	not applicable	synthetic	1	FL0703_MSQ1161_SAndrews_IT_TFEB_ERK_GSK	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not available	not available	NT=HCD;AC=PRIDE:0000590	10 ppm	0.5 Da	28 NCE	1	1	FL0703_MSQ1161_SAndrews_IT_TFEB_ERK_GSK.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	ERK and GSK3B
