source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[MS min charge]	comment[MS max charge]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
Ecoli_lysate_1	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	10062011_ALP_060611_Ech46-5.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_2	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	2	10062011_ALP_060611_Ech14-2.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	2	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_3	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	3	10062011_ALP_060611_Ech45-2.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	3	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_4	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	4	10062011_ALP_060611_Ech35-2.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	4	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_5	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	5	10062011_ALP_060611_Ech21-3.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	5	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_6	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	6	10062011_ALP_060611_Ech15-3.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	6	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_7	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	7	10062011_ALP_060611_Ech44-3.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	7	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_8	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	8	10062011_ALP_060611_Ech32-1.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	8	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_9	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	9	10062011_ALP_060611_Ech14-1.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	9	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
Ecoli_lysate_10	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	10	10062011_ALP_060611_Ech31-1.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	label free sample	10	AC=MS:1000133;NT=CID	6 ppm	510 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	400	2000	2
