source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD007684-Sample-1	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-1	cell	1	Day 0 of the cardiac differentiation time course: undifferentiated mouse pluripotent stem cells (E14.1 mESC,...	not available	OT1_2011-07-05_CY106_d0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY106_d0.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d0
PXD007684-Sample-2	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-2	cell	2	Day 0 of the cardiac differentiation time course: undifferentiated mouse pluripotent stem cells (E14.1 mESC,...	not available	OT1_2011-07-05_CY110_d0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY110_d0.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d0
PXD007684-Sample-3	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-3	cell	3	Day 0 of the cardiac differentiation time course: undifferentiated mouse pluripotent stem cells (E14.1 mESC,...	not available	OT1_2011-07-05_CY112_d0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY112_d0.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d0
PXD007684-Sample-4	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-4	cell	1	Day 2 of differentiation: embryoid bodies at the epiblast-like / primitive streak stage (BRY+), harvested at...	not available	OT1_2011-07-05_CY110_d2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY110_d2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d2
PXD007684-Sample-5	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-5	cell	2	Day 2 of differentiation: embryoid bodies at the epiblast-like / primitive streak stage (BRY+), harvested at...	not available	OT1_2011-07-05_CY112_d2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY112_d2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d2
PXD007684-Sample-6	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-6	cell	3	Day 2 of differentiation: embryoid bodies at the epiblast-like / primitive streak stage (BRY+), harvested at...	not available	OT1_2011-07-05_CY116_d2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY116_d2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d2
PXD007684-Sample-7	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-7	cell	1	Day 3 of differentiation: early/nascent mesoderm stage, one day after addition of the mesoderm-induction...	not available	OT1_2011-07-05_CY112_d3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY112_d3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d3
PXD007684-Sample-8	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-8	cell	2	Day 3 of differentiation: early/nascent mesoderm stage, one day after addition of the mesoderm-induction...	not available	OT1_2011-07-05_CY116_d3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY116_d3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d3
PXD007684-Sample-9	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-9	cell	1	Day 3.75 of differentiation: cardiac progenitor cell (CPC) stage, a heterogeneous population containing the...	not available	OT1_2011-07-05_CY109_d375	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY109_d375.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d3.75
PXD007684-Sample-10	Mus musculus	not available	not available	normal	not available	not available	not available	not available	PXD007684-Individual-10	cell	2	Day 3.75 of differentiation: cardiac progenitor cell (CPC) stage, a heterogeneous population containing the...	not available	OT1_2011-07-05_CY110_d375	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	0.2 Da	0.5 Da	1	1	OT1_2011-07-05_CY110_d375.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	d3.75
