source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[cell line authentication]	characteristics[phenotype]	characteristics[compound]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
DuCaP_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	OEI28057.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
DuCaP_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	OEI28069.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
DuCaP_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	OEI28085.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
DuCaP_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	4	OEI28104.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
DuCaP_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	5	OEI28120.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
DuCaP_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	6	OEI28132.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
DuCaP_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	OEI28059.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
DuCaP_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	OEI28071.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
DuCaP_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	OEI28087.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
DuCaP_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	DuCaP	CVCL_2025	DuCaP	NT=meningeal dura mater;AC=UBERON:0010506	cell line	59Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	4	OEI28106.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
