source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD019483-Sample-15	Encephalomyocarditis Virus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_EMOV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_EMOV.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Encephalomyocarditis Virus
PXD019483-Sample-16	NT=Influenza A virus;AC=NCBITaxon:11320	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_FM.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_FM.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	NT=Influenza A virus;AC=NCBITaxon:11320
PXD019483-Sample-17	NT=Human alphaherpesvirus 1;AC=NCBITaxon:10298	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_HSV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_HSV.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	NT=Human alphaherpesvirus 1;AC=NCBITaxon:10298
PXD019483-Sample-18	NT=La Crosse virus;AC=NCBITaxon:11577	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_LACV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_LACV.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	NT=La Crosse virus;AC=NCBITaxon:11577
PXD019483-Sample-19	NT=Murine hepatitis virus;AC=NCBITaxon:11138	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_MHCV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_MHCV.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	NT=Murine hepatitis virus;AC=NCBITaxon:11138
PXD019483-Sample-20	NT=Rift Valley fever virus;AC=NCBITaxon:11588	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_RVFV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_RVFV.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	NT=Rift Valley fever virus;AC=NCBITaxon:11588
PXD019483-Sample-21	NT=Rift Valley fever virus;AC=NCBITaxon:11588	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 7	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_RVFV_190119131257.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_RVFV_190119131257.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	NT=Rift Valley fever virus;AC=NCBITaxon:11588
PXD019483-Sample-22	NT=Semliki Forest virus;AC=NCBITaxon:11033	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 8	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_SFV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_SFV.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	NT=Semliki Forest virus;AC=NCBITaxon:11033
PXD019483-Sample-23	Thogotovirus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 9	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_THOV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_THOV.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	Thogotovirus
PXD019483-Sample-24	NT=Orthopoxvirus vaccinia;AC=NCBITaxon:10245	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 10	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_VACV.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190112_QX1_JoMu_SA_Easy04_uPAC_500ng_VACV.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	NT=Orthopoxvirus vaccinia;AC=NCBITaxon:10245
