source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]	factor value[treatment]
S1	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S1_B-A1_1_8198	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S1_B-A1_1_8198.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S2	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S2_B-A2_1_8199	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S2_B-A2_1_8199.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S3	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S3_B-A3_1_8200	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S3_B-A3_1_8200.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S4	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S4_B-A4_1_8201	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S4_B-A4_1_8201.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S5	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S5_B-A5_1_8202	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S5_B-A5_1_8202.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S6	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S6_B-A6_1_8203	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S6_B-A6_1_8203.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S7	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S7_B-A7_1_8204	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S7_B-A7_1_8204.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S8	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S8_B-A8_1_8205	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S8_B-A8_1_8205.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S9	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S9_B-A9_1_8206	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S9_B-A9_1_8206.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S10	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S10_B-A10_1_8207	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S10_B-A10_1_8207.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
