source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
serum_control_1	Trypanosoma brucei	blood serum	not available	normal	serum_control	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	1	1603003-Q1-SERUM-control.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_control
serum_control_2	Trypanosoma brucei	blood serum	not available	normal	serum_control	2	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	1	1603003-Q10-SERUM-control.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_control
serum_control_3	Trypanosoma brucei	blood serum	not available	normal	serum_control	3	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	1	1603003-Q4-SERUM-control.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_control
serum_sleeping_sickness_1	Trypanosoma brucei	blood serum	not available	human African trypanosomiasis	serum_sleeping_sickness	1	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	1603003-Q11-SERUM-stade1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_sleeping_sickness
serum_sleeping_sickness_2	Trypanosoma brucei	blood serum	not available	human African trypanosomiasis	serum_sleeping_sickness	2	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	1603003-Q12-SERUM-stade2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_sleeping_sickness
serum_sleeping_sickness_3	Trypanosoma brucei	blood serum	not available	human African trypanosomiasis	serum_sleeping_sickness	3	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	1603003-Q2-SERUM-stade1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_sleeping_sickness
serum_sleeping_sickness_4	Trypanosoma brucei	blood serum	not available	human African trypanosomiasis	serum_sleeping_sickness	4	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	1603003-Q3-SERUM-stade2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_sleeping_sickness
serum_sleeping_sickness_5	Trypanosoma brucei	blood serum	not available	human African trypanosomiasis	serum_sleeping_sickness	5	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	1603003-Q5-SERUM-stade1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_sleeping_sickness
serum_sleeping_sickness_6	Trypanosoma brucei	blood serum	not available	human African trypanosomiasis	serum_sleeping_sickness	6	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	1603003-Q6-SERUM-stade2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_sleeping_sickness
serum_sleeping_sickness_7	Trypanosoma brucei	blood serum	not available	human African trypanosomiasis	serum_sleeping_sickness	7	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	2	1603003-Q8-SERUM-stade1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	serum_sleeping_sickness
