source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
220325_BenP_Eclipse_BP-4060_G2	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_G2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_G2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_C2	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_C2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_D1	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_D1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_C1	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_C1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_B2	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_B2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_F2	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_E1	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_E1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_E1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_E2	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_E2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_E2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_F1	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
220325_BenP_Eclipse_BP-4060_A1	Mus musculus	Muscle	not available	not available	1	220325_BenP_Eclipse_BP-4060_A1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	220325_BenP_Eclipse_BP-4060_A1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Muscle
