source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Ecoli_G100HA_2	Escherichia coli	not available	not available	2	not available	TEclipse_FAIMS_LFQ_DBPSN060_G100HA_2	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_G100HA_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_G50_HA_2	Escherichia coli	not available	not available	2	not available	TEclipse_FAIMS_LFQ_DBPSN060_G50_HA_2	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_G50_HA_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_G50_3	Escherichia coli	not available	not available	3	not available	TEclipse_FAIMS_LFQ_DBPSN060_G50_3	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_G50_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_G50_1	Escherichia coli	not available	not available	1	not available	TEclipse_FAIMS_LFQ_DBPSN060_G50_1	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_G50_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_G100HA_3	Escherichia coli	not available	not available	3	not available	TEclipse_FAIMS_LFQ_DBPSN060_G100HA_3	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_G100HA_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_G50_HA_1	Escherichia coli	not available	not available	1	not available	TEclipse_FAIMS_LFQ_DBPSN060_G50_HA_1	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_G50_HA_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_G50_HA_3	Escherichia coli	not available	not available	3	not available	TEclipse_FAIMS_LFQ_DBPSN060_G50_HA_3	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_G50_HA_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_CK_3	Escherichia coli	not available	not available	3	not available	TEclipse_FAIMS_LFQ_DBPSN060_CK_3	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_CK_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_G50_2	Escherichia coli	not available	not available	2	not available	TEclipse_FAIMS_LFQ_DBPSN060_G50_2	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_G50_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Ecoli_HA_3	Escherichia coli	not available	not available	3	not available	TEclipse_FAIMS_LFQ_DBPSN060_HA_3	proteomic profiling by mass spectrometry	1	TEclipse_FAIMS_LFQ_DBPSN060_HA_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
