source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PXD068671-Sample-1	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-2	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-3	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-4	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-5	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-6	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-7	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-8	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-9	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD068671-Sample-10	Homo sapiens	cardiac muscle tissue	not available	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20250523_ASC2_EVO1_Zoom20_P413_R1531_X2859_DIA_E00000403_Global_A18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
