source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[kinase]
CD1135	Clostridioides difficile	not applicable	not applicable	not applicable	not applicable	1	CD1135	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	4.5 ppm	20 ppm	1	1	20190826_Q2_TD_ColQ2-63_DifKin_PhosTag_CD1135.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	CD1135
CD1135-prkC	Clostridioides difficile	not applicable	not applicable	not applicable	not applicable	1	CD1135-prkC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	4.5 ppm	20 ppm	1	1	20190826_Q2_TD_ColQ2-63_DifKin_PhosTag_CD1135-prkC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	CD1135-prkC
CD1135-CD2148	Clostridioides difficile	not applicable	not applicable	not applicable	not applicable	1	CD1135-CD2148	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	4.5 ppm	20 ppm	1	1	20190826_Q2_TD_ColQ2-63_DifKin_PhosTag_CD1135-CD2148.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	CD1135-CD2148
