source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
160324_QEx_LA_MS556_02	160324_QEx_LA_MS556_02	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_04	160324_QEx_LA_MS556_04	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_06	160324_QEx_LA_MS556_06	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_08	160324_QEx_LA_MS556_08	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_10	160324_QEx_LA_MS556_10	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_12	160324_QEx_LA_MS556_12	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_14	160324_QEx_LA_MS556_14	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_16	160324_QEx_LA_MS556_16	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_16	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_18	160324_QEx_LA_MS556_18	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_18	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
160324_QEx_LA_MS556_20	160324_QEx_LA_MS556_20	Mus musculus	Colon	not applicable	not available	Fiber-associated_microbiota_protects_against_diet-induced_amelioration_of_the_colonic_mucus_barrier	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	Colon	not available	1	160324_QEx_LA_MS556_20	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	160324_QEx_LA_MS556_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
