source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
2907_BT_C14_130806074926	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C14_130806074926	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C14_130806074926.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C14_130806074926.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C8	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C6	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C12_130806021144	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C12_130806021144	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C12_130806021144.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C12_130806021144.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C6_130806121929	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C6_130806121929	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C6_130806121929.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C6_130806121929.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C13	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
110314_ntsi3_140312060343	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	110314_ntsi3_140312060343	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	110314_ntsi3_140312060343.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/110314_ntsi3_140312060343.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
110314_ntsi3	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	110314_ntsi3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	110314_ntsi3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/110314_ntsi3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C14	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
110314_ntsi1_140312034839	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	110314_ntsi1_140312034839	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	110314_ntsi1_140312034839.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/110314_ntsi1_140312034839.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
