source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD003772-TMT0-NI	Mus musculus	blood plasma	normal	adult	1	PXD003772-TMT0-NI	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT0_07_120m_1pt5.raw	1	1	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed			NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal
PXD003772-TMT0-ECM	Mus musculus	blood plasma	cerebral malaria	adult	2	PXD003772-TMT0-ECM	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT0_15_120m_1pt5.raw	1	1	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed			NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	cerebral malaria
PXD003772-Exp1-NI-1	Mus musculus	blood plasma	normal	adult	3	PXD003772-Exp1-NI-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT6_1_240m_1pt5.raw	1	1	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal
PXD003772-Exp1-NI-2	Mus musculus	blood plasma	normal	adult	4	PXD003772-Exp1-NI-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT6_1_240m_1pt5.raw	1	1	TMT127	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	normal
PXD003772-Exp1-d3pi-1	Mus musculus	blood plasma	malaria	adult	5	PXD003772-Exp1-d3pi-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT6_1_240m_1pt5.raw	1	1	TMT128	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	malaria
PXD003772-Exp1-d3pi-2	Mus musculus	blood plasma	malaria	adult	6	PXD003772-Exp1-d3pi-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT6_1_240m_1pt5.raw	1	1	TMT129	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	malaria
PXD003772-Exp1-ECM-1	Mus musculus	blood plasma	cerebral malaria	adult	7	PXD003772-Exp1-ECM-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT6_1_240m_1pt5.raw	1	1	TMT130	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	cerebral malaria
PXD003772-Exp1-ECM-2	Mus musculus	blood plasma	cerebral malaria	adult	8	PXD003772-Exp1-ECM-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT6_1_240m_1pt5.raw	1	1	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	cerebral malaria
PXD003772-Exp2-ECM-1	Mus musculus	blood plasma	cerebral malaria	adult	9	PXD003772-Exp2-ECM-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT6_2_240min_1pt5.raw	1	1	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	cerebral malaria
PXD003772-Exp2-ECM-2	Mus musculus	blood plasma	cerebral malaria	adult	10	PXD003772-Exp2-ECM-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	Natalia_TMT6_2_240min_1pt5.raw	1	1	TMT127	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	cerebral malaria
