source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
N10_460min_1500ng_Run1.msf	N10_460min_1500ng_Run1.msf	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N10_460min_1500ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N10_460min_1500ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N10_460min_1500ng_Run1	N10_460min_1500ng_Run1	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N10_460min_1500ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N10_460min_1500ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N11_460min_1500ng_Run1.msf	N11_460min_1500ng_Run1.msf	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N11_460min_1500ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N11_460min_1500ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N11_460min_1500ng_Run1	N11_460min_1500ng_Run1	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N11_460min_1500ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N11_460min_1500ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N13_460min_1500ng_Run1.msf	N13_460min_1500ng_Run1.msf	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N13_460min_1500ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N13_460min_1500ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N13_460min_1500ng_Run1	N13_460min_1500ng_Run1	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N13_460min_1500ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N13_460min_1500ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N15_460min_1500ng_Run1.msf	N15_460min_1500ng_Run1.msf	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N15_460min_1500ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N15_460min_1500ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N15_460min_1500ng_Run1	N15_460min_1500ng_Run1	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N15_460min_1500ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N15_460min_1500ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N19_460min_1500ng_Run1.msf	N19_460min_1500ng_Run1.msf	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N19_460min_1500ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N19_460min_1500ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
N19_460min_1500ng_Run1	N19_460min_1500ng_Run1	Candidatus endonucleobacter	sea water	not applicable	not available	Metaproteomes_of_the_ciliated_edge_from_the_gill_filaments_of_the_deep-sea_mussel_Bathymodiolus_childressi_infected_by_Ca._Endonucleobacter	sea water	sea water	7.6, 0.1	not available	not available	not available	marine microbiome	1	N19_460min_1500ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	N19_460min_1500ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
