source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[protein amount]
sample 1	Mus musculus	brain LEC	not applicable	not applicable	adult	1	run 1	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002634	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_01.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 2	Mus musculus	brain LEC	interneuron	not applicable	adult	1	run 2	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002635	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_02.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 3	Mus musculus	brain LEC	not applicable	not applicable	adult	1	run 3	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002636	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_03.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 4	Mus musculus	brain SSC	not applicable	not applicable	adult	1	run 4	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002637	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_04.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 5	Mus musculus	brain SSC	interneuron	not applicable	adult	1	run 5	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002638	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_05.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 6	Mus musculus	brain SSC	not applicable	not applicable	adult	1	run 6	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002639	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_06.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 7	Mus musculus	brain LEC	not applicable	not applicable	adult	1	run 7	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002640	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_07.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 8	Mus musculus	brain LEC	interneuron	not applicable	adult	1	run 8	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002641	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_08.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 9	Mus musculus	brain LEC	not applicable	not applicable	adult	1	run 9	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002642	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_09.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
sample 10	Mus musculus	brain SSC	interneuron	not applicable	adult	1	run 10	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=Q Exactive Plus; AC=MS:1002643	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	10 ppm	0.05 Da	1	1	mrowan_14samples_10.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	200 ug
