source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[fractionation method]
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	1	1	MTBCF1_091119040248.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	1	2	MTB_CID_A1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	1	3	MTB_CID_B1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	1	4	MTB_CID_C1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	2	1	MTBCF2_091119151409.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	2	2	MTB_CID_A2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	2	3	MTB_CID_B2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	2	4	MTB_CID_C2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	3	1	MTBCF3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	3	2	MTB_CID_A3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
