source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[host organism]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
Amblyomma_non_stim_1	Ixodes scapularis	saliva	not available	not available	not applicable	Amblyomma_non_stim	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	1	Amblyomma_1_non-stim_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_non_stim
Amblyomma_non_stim_2	Ixodes scapularis	saliva	not available	not available	not applicable	Amblyomma_non_stim	2	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	1	Amblyomma_1_non-stim_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_non_stim
Amblyomma_non_stim_3	Ixodes scapularis	saliva	not available	not available	not applicable	Amblyomma_non_stim	3	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	1	Amblyomma_1_non-stim_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_non_stim
Amblyomma_dog_1	Ixodes scapularis	saliva	not available	not available	Canis lupus familiaris	Amblyomma_dog	1	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	2	Amblyomma_2_dog_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_dog
Amblyomma_dog_2	Ixodes scapularis	saliva	not available	not available	Canis lupus familiaris	Amblyomma_dog	2	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	2	Amblyomma_2_dog_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_dog
Amblyomma_dog_3	Ixodes scapularis	saliva	not available	not available	Canis lupus familiaris	Amblyomma_dog	3	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	2	Amblyomma_2_dog_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_dog
Amblyomma_human_1	Ixodes scapularis	saliva	not available	not available	Homo sapiens	Amblyomma_human	1	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	3	Amblyomma_3_human_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_human
Amblyomma_human_2	Ixodes scapularis	saliva	not available	not available	Homo sapiens	Amblyomma_human	2	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	3	Amblyomma_3_human_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_human
Amblyomma_human_3	Ixodes scapularis	saliva	not available	not available	Homo sapiens	Amblyomma_human	3	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	3	Amblyomma_3_human_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_human
Amblyomma_rabbit_1	Ixodes scapularis	saliva	not available	not available	Oryctolagus cuniculus	Amblyomma_rabbit	1	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	4	Amblyomma_4_rabbit_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_rabbit
