source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
10.06.11TrypDig3_DT	Glycine max	not available	not applicable	not available	1	10.06.11TrypDig3_DT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.06.11TrypDig3_DT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.06.11TrypDig3_DT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.02.11LysC_CID	Glycine max	not available	not applicable	not available	1	12.02.11LysC_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.02.11LysC_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.02.11LysC_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.06.11GluC_CID	Glycine max	not available	not applicable	not available	1	12.06.11GluC_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.06.11GluC_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.06.11GluC_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.06.11TrypDig1_DT	Glycine max	not available	not applicable	not available	1	10.06.11TrypDig1_DT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.06.11TrypDig1_DT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.06.11TrypDig1_DT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.02.11LysC_ETD	Glycine max	not available	not applicable	not available	1	12.02.11LysC_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.02.11LysC_ETD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.02.11LysC_ETD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.28.11TrypDig6_CID	Glycine max	not available	not applicable	not available	1	12.28.11TrypDig6_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.28.11TrypDig6_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.28.11TrypDig6_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.06.11TrypDig5_DT	Glycine max	not available	not applicable	not available	1	10.06.11TrypDig5_DT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.06.11TrypDig5_DT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.06.11TrypDig5_DT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.23.11TrypDig3_ETD	Glycine max	not available	not applicable	not available	1	10.23.11TrypDig3_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.23.11TrypDig3_ETD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.23.11TrypDig3_ETD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.06.11TrypDig8_DT	Glycine max	not available	not applicable	not available	1	10.06.11TrypDig8_DT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.06.11TrypDig8_DT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.06.11TrypDig8_DT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
11.12.11LysC_DT	Glycine max	not available	not applicable	not available	1	11.12.11LysC_DT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	11.12.11LysC_DT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/11.12.11LysC_DT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.28.11TrypDig8_CID	Glycine max	not available	not applicable	not available	1	12.28.11TrypDig8_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.28.11TrypDig8_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.28.11TrypDig8_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.23.11TrypDig4_ETD	Glycine max	not available	not applicable	not available	1	10.23.11TrypDig4_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.23.11TrypDig4_ETD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.23.11TrypDig4_ETD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
07.28.11TrypDig3_CID	Glycine max	not available	not applicable	not available	1	07.28.11TrypDig3_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	07.28.11TrypDig3_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/07.28.11TrypDig3_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.23.11TrypDig7_ETD	Glycine max	not available	not applicable	not available	1	10.23.11TrypDig7_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.23.11TrypDig7_ETD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.23.11TrypDig7_ETD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.06.11TrypDig2_DT	Glycine max	not available	not applicable	not available	1	10.06.11TrypDig2_DT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.06.11TrypDig2_DT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.06.11TrypDig2_DT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.06.11LysC_DT	Glycine max	not available	not applicable	not available	1	12.06.11LysC_DT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.06.11LysC_DT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.06.11LysC_DT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.06.11GluC_ETD	Glycine max	not available	not applicable	not available	1	12.06.11GluC_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.06.11GluC_ETD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.06.11GluC_ETD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.28.11TrypDig1_CID	Glycine max	not available	not applicable	not available	1	12.28.11TrypDig1_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.28.11TrypDig1_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.28.11TrypDig1_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.28.11TrypDig2_CID	Glycine max	not available	not applicable	not available	1	12.28.11TrypDig2_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.28.11TrypDig2_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.28.11TrypDig2_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.02.11GluC_CID	Glycine max	not available	not applicable	not available	1	12.02.11GluC_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.02.11GluC_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.02.11GluC_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.23.11TrypDig2_ETD	Glycine max	not available	not applicable	not available	1	10.23.11TrypDig2_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.23.11TrypDig2_ETD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.23.11TrypDig2_ETD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.28.11TrypDig5_CID	Glycine max	not available	not applicable	not available	1	12.28.11TrypDig5_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.28.11TrypDig5_CID.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.28.11TrypDig5_CID.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.23.11TrypDig5_ETD	Glycine max	not available	not applicable	not available	1	10.23.11TrypDig5_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.23.11TrypDig5_ETD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.23.11TrypDig5_ETD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
10.23.11TrypDig6_ETD	Glycine max	not available	not applicable	not available	1	10.23.11TrypDig6_ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	10.23.11TrypDig6_ETD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/10.23.11TrypDig6_ETD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
12.02.11LysC_DT	Glycine max	not available	not applicable	not available	1	12.02.11LysC_DT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	12.02.11LysC_DT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000192/12.02.11LysC_DT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
