source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[treatment]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[peptide pulse]
BMDC_MHC1_Pep	Mus musculus	bone marrow	normal	dendritic cell	cell	not available	not available	not available	IAV peptide pool	MHC class I protein complex	immunoaffinity purification	not available	not available	IVA26	1	MHC1_Pep	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	not available	1	1	MHC1_Pep.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	IAV peptide pool
BMDC_MHC1_No_Pep	Mus musculus	bone marrow	normal	dendritic cell	cell	not available	not available	not available	no peptide	MHC class I protein complex	immunoaffinity purification	not available	not available	IVA26	1	MHC1_No_Pep	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	20 ppm	not available	1	1	MHC1_No_Pep.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	no peptide
